Date,Price,Open,High,Low,Vol.,Change %
6-Feb-19,54.01,53.73,54.3,52.86,606.72K,0.65%
7-Feb-19,52.64,53.94,54.21,51.8,749.01K,-2.54%
8-Feb-19,52.72,52.59,52.99,52.08,621.00K,0.15%
11-Feb-19,52.41,52.66,52.78,51.23,750.24K,-0.59%
12-Feb-19,53.1,52.47,54.05,52.29,708.31K,1.32%
13-Feb-19,53.9,53.35,54.6,53.27,706.55K,1.51%
14-Feb-19,54.41,53.96,54.68,53.08,623.55K,0.95%
15-Feb-19,55.59,54.48,55.87,54.24,276.91K,2.17%
17-Feb-19,56.33,56.17,56.39,56.11,-,1.33%
18-Feb-19,56.27,56.33,56.73,56.12,-,-0.11%
19-Feb-19,56.09,55.78,56.33,55.29,153.73K,-0.32%
20-Feb-19,56.92,55.94,57.55,55.48,37.68K,1.48%
21-Feb-19,56.96,57.24,57.61,56.64,546.20K,0.07%
22-Feb-19,57.26,56.84,57.81,56.71,513.44K,0.53%
25-Feb-19,55.48,57.17,57.53,55.08,723.01K,-3.11%
26-Feb-19,55.5,55.46,56.08,55.02,538.92K,0.04%
27-Feb-19,56.94,55.95,57.39,55.72,577.23K,2.59%
28-Feb-19,57.22,57,57.43,56.43,496.68K,0.49%
1-Mar-19,55.8,57.22,57.88,55.57,684.19K,-2.48%
4-Mar-19,56.59,55.83,57,55.81,549.40K,1.42%
5-Mar-19,56.56,56.45,57.19,56.09,538.40K,-0.05%
6-Mar-19,56.22,56.28,56.4,55.42,637.68K,-0.60%
7-Mar-19,56.66,56.2,56.99,56.08,628.82K,0.78%
8-Mar-19,56.07,56.43,56.51,54.52,747.36K,-1.04%
11-Mar-19,56.79,56.07,57.01,55.96,597.16K,1.28%
12-Mar-19,56.87,56.76,57.55,56.74,652.80K,0.14%
13-Mar-19,58.26,57.09,58.48,57.01,610.62K,2.44%
14-Mar-19,58.61,58.35,58.74,58,567.60K,0.60%
15-Mar-19,58.52,58.51,58.95,57.74,507.39K,-0.15%
18-Mar-19,59.09,58.45,59.23,58.05,157.24K,0.97%
19-Mar-19,59.03,59.01,59.57,58.62,114.82K,-0.10%
20-Mar-19,59.83,59.02,60.12,58.39,31.13K,1.36%
21-Mar-19,59.98,59.99,60.39,59.66,655.38K,0.25%
22-Mar-19,59.04,59.87,60.07,58.28,738.84K,-1.57%
25-Mar-19,58.82,58.98,59.35,58.17,705.40K,-0.37%
26-Mar-19,59.94,59.12,60.38,59.04,685.99K,1.90%
27-Mar-19,59.41,60.03,60.22,58.81,732.15K,-0.88%
28-Mar-19,59.3,59.4,59.56,58.2,712.21K,-0.19%
29-Mar-19,60.14,59.53,60.73,59.41,705.56K,1.42%
1-Apr-19,61.59,60.24,61.8,60.13,670.81K,2.41%
2-Apr-19,62.58,61.81,62.75,61.6,793.23K,1.61%
3-Apr-19,62.46,62.64,62.99,62.05,799.67K,-0.19%
4-Apr-19,62.1,62.5,62.77,61.89,684.97K,-0.58%
5-Apr-19,63.08,62.18,63.34,61.82,686.86K,1.58%
8-Apr-19,64.4,63.33,64.48,63.13,895.77K,2.09%
9-Apr-19,63.98,64.4,64.79,63.68,790.68K,-0.65%
10-Apr-19,64.61,64.22,64.7,64.05,722.22K,0.98%
11-Apr-19,63.58,64.48,64.49,63.31,760.50K,-1.59%
12-Apr-19,63.89,63.71,64.65,63.66,625.59K,0.49%
15-Apr-19,63.4,63.76,63.84,63.03,555.86K,-0.77%
16-Apr-19,64.05,63.57,64.37,62.99,547.47K,1.03%
17-Apr-19,63.76,64.32,64.61,63.66,235.38K,-0.45%
18-Apr-19,64,63.75,64.16,63.46,148.24K,0.38%
22-Apr-19,65.7,64,65.92,64,30.14K,2.66%
23-Apr-19,66.3,65.75,66.6,65.58,700.60K,0.91%
